Age,Workclass,Education,Marital Status,Occupation,Relationship,Capital Gain,Capital Loss,Hours per week,Country,Target
37.00 < Age <= 48.00,Self-emp-not-inc,Associates,Married,Professional,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Associates,Married,Blue-Collar,Husband,None,High,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Admin,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,Other,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Blue-Collar,Unmarried,None,None,Hours per week > 45.00,United-States,"Less than $50
37.00 < Age <= 48.00,Self-emp-inc,Doctorate,Married,Professional,Husband,None,High,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Sales,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Separated,Service,Unmarried,None,None,Hours per week > 45.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Admin,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Separated,Service,Not-in-family,None,Low,Hours per week > 45.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Federal-gov,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,Prof-School,Never-Married,Professional,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Private,Bachelors,Separated,White-Collar,Unmarried,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Self-emp-not-inc,High School grad,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Associates,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,State-gov,Bachelors,Never-Married,Professional,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Separated,White-Collar,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,Masters,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-inc,Masters,Separated,White-Collar,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Associates,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Never-Married,Sales,Not-in-family,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-inc,Associates,Married,White-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Federal-gov,Doctorate,Married,Professional,Husband,Low,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Self-emp-not-inc,Bachelors,Married,White-Collar,Wife,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Private,Bachelors,Married,White-Collar,Husband,High,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,Admin,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Never-Married,Admin,Not-in-family,None,Low,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Self-emp-not-inc,Dropout,Married,White-Collar,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Self-emp-inc,High School grad,Married,Sales,Husband,None,None,Hours per week <= 40.00,Other,"Less than $50
Age > 48.00,Self-emp-inc,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
Age <= 28.00,Private,Associates,Never-Married,Service,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Never-Married,Professional,Own-child,None,None,Hours per week <= 40.00,British-Commonwealth,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Sales,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Widowed,Professional,Unmarried,None,None,Hours per week > 45.00,Euro_2,"More than $50
37.00 < Age <= 48.00,Private,Bachelors,Never-Married,Professional,Not-in-family,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Dropout,Married,Blue-Collar,Husband,Low,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Married,Sales,Other-relative,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,Admin,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Self-emp-not-inc,Masters,Separated,Professional,Not-in-family,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-inc,Bachelors,Married,Sales,Husband,None,High,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Local-gov,Masters,Separated,Professional,Unmarried,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
37.00 < Age <= 48.00,Federal-gov,Masters,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,Other,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Federal-gov,Bachelors,Married,Other,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Local-gov,Dropout,Married,Service,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Associates,Separated,Service,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,White-Collar,Husband,None,High,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Local-gov,High School grad,Married,Admin,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Local-gov,Masters,Married,Professional,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Self-emp-inc,Bachelors,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Local-gov,Doctorate,Never-Married,Professional,Not-in-family,High,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Private,Bachelors,Never-Married,Sales,Not-in-family,None,Low,40.00 < Hours per week <= 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Local-gov,Bachelors,Married,Professional,Husband,None,Low,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,Admin,Unmarried,None,None,Hours per week > 45.00,United-States,"Less than $50
37.00 < Age <= 48.00,Local-gov,Bachelors,Never-Married,Other,Not-in-family,Low,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Service,Husband,None,None,Hours per week <= 40.00,Latin-America,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,Low,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Admin,Not-in-family,None,None,Hours per week <= 40.00,SE-Asia,"Less than $50
28.00 < Age <= 37.00,Federal-gov,High School grad,Married,Admin,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,Bachelors,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Local-gov,High School grad,Never-Married,Other,Not-in-family,None,High,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Wife,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Self-emp-not-inc,Doctorate,Never-Married,Professional,Unmarried,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,White-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Self-emp-not-inc,Prof-School,Married,Professional,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Local-gov,Masters,Separated,Professional,Not-in-family,None,None,Hours per week <= 40.00,Latin-America,"Less than $50
Age > 48.00,Private,Bachelors,Never-Married,Professional,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Self-emp-inc,Prof-School,Married,Professional,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Wife,High,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Federal-gov,Bachelors,Never-Married,Other,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,State-gov,Doctorate,Married,Professional,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Federal-gov,Bachelors,Married,White-Collar,Husband,High,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Self-emp-inc,Masters,Widowed,White-Collar,Unmarried,None,None,Hours per week > 45.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Separated,Blue-Collar,Unmarried,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
Age > 48.00,Private,Associates,Separated,Professional,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Bachelors,Separated,Professional,Unmarried,None,None,Hours per week > 45.00,British-Commonwealth,"Less than $50
37.00 < Age <= 48.00,Private,Masters,Never-Married,White-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-inc,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Associates,Married,Other,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Admin,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Federal-gov,Bachelors,Married,Other,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,White-Collar,Not-in-family,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Other,Husband,None,High,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Federal-gov,High School grad,Separated,White-Collar,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Admin,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Bachelors,Widowed,Professional,Unmarried,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Associates,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,State-gov,Bachelors,Never-Married,Professional,Not-in-family,None,None,Hours per week <= 40.00,British-Commonwealth,"Less than $50
Age > 48.00,Self-emp-not-inc,High School grad,Separated,Blue-Collar,Unmarried,High,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Sales,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Associates,Never-Married,Professional,Not-in-family,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
Age > 48.00,Self-emp-not-inc,Doctorate,Separated,Sales,Not-in-family,None,None,Hours per week > 45.00,United-States,"Less than $50
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,Low,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Masters,Married,Professional,Husband,None,None,Hours per week <= 40.00,China,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Separated,Admin,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Self-emp-inc,High School grad,Married,Other,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,State-gov,High School grad,Separated,Other,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,SE-Asia,"Less than $50
Age > 48.00,Local-gov,Masters,Married,Professional,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Self-emp-inc,Bachelors,Married,Sales,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,Associates,Never-Married,Blue-Collar,Not-in-family,None,Low,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,High,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age > 48.00,Private,Bachelors,Married,Professional,Wife,High,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,Sales,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,White-Collar,Husband,None,High,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Local-gov,Bachelors,Married,White-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Sales,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Federal-gov,High School grad,Married,Admin,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age <= 28.00,Private,Bachelors,Never-Married,Admin,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Self-emp-not-inc,Doctorate,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,Low,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Never-Married,Professional,Not-in-family,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
Age <= 28.00,State-gov,Masters,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Local-gov,High School grad,Widowed,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,State-gov,Masters,Married,Professional,Husband,High,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Admin,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Dropout,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,Latin-America,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Widowed,Admin,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Dropout,Married,Service,Husband,None,None,Hours per week > 45.00,Other,"Less than $50
37.00 < Age <= 48.00,Private,Dropout,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Associates,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Local-gov,Masters,Married,Professional,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,Professional,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Self-emp-not-inc,High School grad,Never-Married,White-Collar,Own-child,None,None,40.00 < Hours per week <= 45.00,Euro_2,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Admin,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-not-inc,Associates,Never-Married,Blue-Collar,Other-relative,High,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age > 48.00,Private,Doctorate,Married,Professional,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,Sales,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Local-gov,Associates,Married,Professional,Wife,High,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
Age > 48.00,Federal-gov,Masters,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Self-emp-not-inc,Prof-School,Married,Professional,Husband,High,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,White-Collar,Not-in-family,High,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Service,Husband,None,None,Hours per week > 45.00,Euro_1,"More than $50
Age <= 28.00,State-gov,High School grad,Never-Married,Service,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Prof-School,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,Prof-School,Married,Professional,Husband,High,None,Hours per week <= 40.00,British-Commonwealth,"More than $50
28.00 < Age <= 37.00,Self-emp-inc,Bachelors,Married,Sales,Own-child,Low,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-not-inc,Dropout,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Separated,Admin,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Masters,Married,White-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,White-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,Other,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Bachelors,Separated,Admin,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,State-gov,High School grad,Never-Married,Service,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Widowed,Blue-Collar,Not-in-family,None,High,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Federal-gov,High School grad,Married,Admin,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,Service,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Self-emp-not-inc,High School grad,Separated,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Associates,Separated,White-Collar,Not-in-family,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
Age > 48.00,Private,Bachelors,Separated,White-Collar,Not-in-family,High,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Separated,Blue-Collar,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,Associates,Never-Married,Sales,Own-child,None,None,Hours per week <= 40.00,South-America,"Less than $50
Age <= 28.00,Private,Dropout,Never-Married,Service,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,Associates,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Self-emp-not-inc,Bachelors,Never-Married,White-Collar,Not-in-family,High,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,Associates,Never-Married,White-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Federal-gov,High School grad,Never-Married,White-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Separated,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,State-gov,High School grad,Never-Married,Admin,Unmarried,None,None,Hours per week > 45.00,United-States,"Less than $50
37.00 < Age <= 48.00,State-gov,Masters,Never-Married,White-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Self-emp-not-inc,Dropout,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Federal-gov,High School grad,Married,Admin,Husband,None,None,Hours per week <= 40.00,SE-Asia,"Less than $50
37.00 < Age <= 48.00,Private,Associates,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-inc,High School grad,Married,White-Collar,Husband,High,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,Other,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Separated,Blue-Collar,Other-relative,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Local-gov,Masters,Married,Professional,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Self-emp-not-inc,Associates,Married,Admin,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,None,None,Hours per week > 45.00,United-States,"Less than $50
Age > 48.00,Self-emp-not-inc,High School grad,Married,Sales,Wife,None,None,Hours per week > 45.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Sales,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,State-gov,High School grad,Married,Service,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Separated,Sales,Not-in-family,None,None,Hours per week > 45.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,Professional,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Service,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Bachelors,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Federal-gov,Bachelors,Married,White-Collar,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Admin,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,White-Collar,Not-in-family,None,High,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,Dropout,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Federal-gov,Doctorate,Married,Professional,Husband,High,None,Hours per week <= 40.00,SE-Asia,"More than $50
Age > 48.00,Self-emp-inc,High School grad,Married,White-Collar,Husband,None,High,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Sales,Other-relative,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,Dropout,Never-Married,Service,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Service,Husband,None,None,Hours per week > 45.00,Latin-America,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Wife,None,None,Hours per week <= 40.00,Latin-America,"More than $50
Age > 48.00,Self-emp-inc,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
